nohup: ignoring input
2025-04-18 18:56:59.282925: I tensorflow/core/util/port.cc:113] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2025-04-18 18:56:59.358169: E external/local_xla/xla/stream_executor/cuda/cuda_dnn.cc:9261] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
2025-04-18 18:56:59.358221: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:607] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
2025-04-18 18:56:59.360201: E external/local_xla/xla/stream_executor/cuda/cuda_blas.cc:1515] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2025-04-18 18:56:59.370939: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2025-04-18 18:57:03.478081: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1929] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 3086 MB memory:  -> device: 0, name: NVIDIA A100-PCIE-40GB, pci bus id: 0000:2b:00.0, compute capability: 8.0
<__main__.CustomSchedule object at 0x7f42b1bc99d0>
Start of epoch 1
2025-04-18 18:57:12.692080: I external/local_xla/xla/service/service.cc:168] XLA service 0x46346650 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
2025-04-18 18:57:12.692138: I external/local_xla/xla/service/service.cc:176]   StreamExecutor device (0): NVIDIA A100-PCIE-40GB, Compute Capability 8.0
2025-04-18 18:57:12.701440: I tensorflow/compiler/mlir/tensorflow/utils/dump_mlir_util.cc:269] disabling MLIR crash reproducer, set env var `MLIR_CRASH_REPRODUCER_DIRECTORY` to enable.
2025-04-18 18:57:12.749716: I external/local_xla/xla/stream_executor/cuda/cuda_dnn.cc:454] Loaded cuDNN version 8907
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1744982832.961083 1375219 device_compiler.h:186] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
WARNING:tensorflow:5 out of the last 5 calls to <function _BaseOptimizer._update_step_xla at 0x7f42ac0ff940> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
WARNING:tensorflow:6 out of the last 6 calls to <function _BaseOptimizer._update_step_xla at 0x7f42ac0ff940> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
Epoch 1 Batch 0 Loss 2.4734 Accuracy 0.0000
Epoch 1 Batch 50 Loss 2.3534 Accuracy 0.0047
Epoch 1 Batch 100 Loss 2.2889 Accuracy 0.0124
Epoch 1 Batch 150 Loss 2.2329 Accuracy 0.0151
Epoch 1 Batch 200 Loss 2.2051 Accuracy 0.0164
Epoch 1 Batch 250 Loss 2.1665 Accuracy 0.0172
Epoch 1 Batch 300 Loss 2.1214 Accuracy 0.0177
Epoch 1 Batch 350 Loss 2.0686 Accuracy 0.0181
Epoch 1 Batch 400 Loss 2.0154 Accuracy 0.0189
Epoch 1 Batch 450 Loss 1.9595 Accuracy 0.0212
Epoch 1 Batch 500 Loss 1.9078 Accuracy 0.0239
Epoch 1 Batch 550 Loss 1.8612 Accuracy 0.0268
